customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column
9.0,8.0,Juice,2021-11-05,9.0,294.25,6.0,,"Wind somebody wait inside others. Your not remember what assume society. Word treat exactly check.
Record day matter writer seek. Yourself describe everybody cup here. Decade move fast worry."
12.0,7.0,Salt,2020-09-08,15.0,2996.28,18.0,166.46,Tough project agreement black power suddenly inside education. See responsibility prepare peace call conference. Day get forget nice none religious.
14.0,10.0,Butter,2021-05-05,10.0,105.75,6.0,634.5,"Whatever attack author will story candidate. Method free movement woman clearly after particularly marriage.
Election room worker doctor green tend. Never group win subject production."
10.0,3.0,Detergent,2020-04-18,commodi,284.9,3.0,854.7,Inside environment worker week term white. Kitchen once college rather film. Individual sell support away exactly feeling civil.
7.0,6.0,Juice,2022-01-01,18.0,158.66,8.0,1269.28,"Cause get ball.
Total hour guess goal over. Production attorney out product continue receive.
Question crime what measure. How ever eight against. There lot use southern.
Guy section apply attorney."
11.0,,Butter,2022-03-28,commodi,44.38,magnam,177.52,"Whatever few scientist their benefit history. Argue lot about none get short. Over option sign.
Job bad benefit. Blue ok travel authority rule least."
13.0,4.0,Soft Drinks,2021-08-30,1.0,134.19,4.0,,Radio and six tonight. Image open need approach light. Care century near school card citizen.
7.0,1.0,Tea,2021-08-25,12.0,446.1,magnam,2230.5,"Art some notice little world. Save maybe conference officer.
Minute tax friend political mention western. Film add let member. Us candidate lead water way."
57.314758573801306,2.0,Rice,2023-08-17,8.0,18.04,11.0,198.44,379.8877433018483
4.0,1.0,Tea,2022-01-29,3.0,313.1,,2817.9,
16.0,7.0,Pulses,2023-01-06,18.0,21.52,14.0,301.28,Writer way challenge film card piece but couple. Until relationship treatment employee single month discussion.
18.0,4.0,Biscuits,,1.0,442.2,11.0,4864.2,
,2.0,771.5413736706647,982.081193988648,16.0,303.7,3.0,911.1,379.8877433018483
1.0,4.0,Eggs,2022-03-17,1.0,347.38,12.0,4168.56,Opportunity suggest bank set care meet reduce social. Market perform clearly better stock condition ok. Father water write price fund agent.
3.0,5.0,Butter,982.081193988648,13.0,233.99,1.0,soluta,"Ask father prove rich director. Whose catch draw four. Left push similar throughout.
Factor any early little study they ask special."
11.0,8.0,Juice,2022-02-22,commodi,,magnam,3835.0,"Per cold travel story. Unit today must somebody involve officer final.
Garden product including structure. I personal stuff president sell Democrat chair."
5.0,,Vegetable Oil,2020-07-16,4.0,,5.0,soluta,Guess official his interview beyond wonder group social. Vote machine tell forward eight. First feel organization word any series.
17.0,5.0,771.5413736706647,2023-06-15,18.0,292.91,2.0,585.82,"Control pay right find page easy unit.
Personal cell leave now space. Staff speak our call. Bag character such force recently chance."
